,ds,yhat,yhat_lower,yhat_upper,Adj Close,difference,difference_pct
1240,2019-12-18,110.2033364395472,101.22130508157355,118.9462064049133,120.559998,10.356661560452793,8.59%
1241,2019-12-19,110.0704255037336,100.81333549140349,118.51500011888719,121.150002,11.079576496266398,9.15%
1242,2019-12-20,110.13698374068485,101.45553276129503,119.53367196030781,122.050003,11.91301925931515,9.76%
1243,2019-12-23,110.05253310855562,100.80188381567658,119.15712976845964,122.91999799999999,12.86746489144437,10.47%
1244,2019-12-24,110.07801443124066,100.51390173750173,118.44524411243718,123.5,13.42198556875934,10.87%
1245,2019-12-26,109.88461058863722,100.88693995907926,118.4538515637521,122.58000200000001,12.695391411362792,10.36%
1246,2019-12-27,109.96480954261706,101.32882439886606,118.99326574522391,121.559998,11.595188457382932,9.54%
1247,2019-12-30,109.90535628443811,100.40574620611817,118.83862925482515,120.18,10.274643715561893,8.55%
1248,2019-12-31,109.93350409287987,101.42851158665519,119.36928598719062,120.510002,10.576497907120128,8.78%
1249,2020-01-01,109.85694575687664,100.40717331848096,119.13440291435626,,,nan%
1250,2020-01-02,109.73701181125331,100.73196372944551,118.44499768570277,119.889999,10.152987188746692,8.47%
1251,2020-01-03,109.81164481368107,100.67402071272456,118.68601187308425,118.360001,8.548356186318927,7.22%
1252,2020-01-04,105.64548691764122,96.41274329575947,114.02447519121857,,,nan%
1253,2020-01-05,105.61515076139423,96.96978229234031,114.71303717428495,,,nan%
1254,2020-01-06,109.72090838101977,100.69149595034104,118.69181352321182,119.120003,9.399094618980229,7.89%
1255,2020-01-07,109.73416396487976,100.83756419531548,118.79409363707708,119.150002,9.415838035120245,7.90%
1256,2020-01-08,109.6406303799703,100.6141325872198,118.383287796014,120.220001,10.579370620029692,8.80%
1257,2020-01-09,109.5016848303905,100.60055351975228,118.4577247187981,121.040001,11.538316169609502,9.53%
1258,2020-01-10,109.55528499207865,100.40827342811957,118.40463577926069,120.449997,10.894712007921342,9.05%
1259,2020-01-11,105.36605893089659,96.5060260171603,113.78965957397797,,,nan%
1260,2020-01-12,105.31058168142872,96.47644417131326,114.51890983577145,,,nan%
1261,2020-01-13,109.38907300460572,100.28615985621055,118.25228269722297,119.160004,9.77093099539428,8.20%
1262,2020-01-14,109.3728818098717,100.43549576411444,118.70694229568292,121.110001,11.737119190128297,9.69%
1263,2020-01-15,109.24767670703541,100.52382947980814,118.10250708253224,,,nan%
1264,2020-01-16,109.07481746498782,100.24887131113265,117.69782775181103,,,nan%
1265,2020-01-17,109.09228803955844,100.32727670648622,117.38137885279858,,,nan%
1266,2020-01-18,104.86480371979596,96.2408808781303,113.1711802305345,,,nan%
1267,2020-01-19,104.76910446280365,96.382486434327,113.33769596742111,,,nan%
1268,2020-01-20,108.80566810739994,99.34536592032663,118.1016896642872,,,nan%
1269,2020-01-21,108.74620813340306,99.56561445994716,117.82067439410089,,,nan%
1270,2020-01-22,108.57687465277918,99.21964882339708,117.09857807685357,,,nan%
1271,2020-01-23,108.3596327003709,99.06257347208698,117.09953824939006,,,nan%
1272,2020-01-24,108.33319787518526,99.41980892126618,117.1691330902052,,,nan%
1273,2020-01-25,104.06314139383554,95.59610492737286,113.10519742310223,,,nan%
1274,2020-01-26,103.92717628466045,95.31049403923033,112.75032766318813,,,nan%
1275,2020-01-27,107.9268582352003,99.8315180056225,117.64765732299495,,,nan%
1276,2020-01-28,107.83506575926059,98.8620263968272,116.31599513877951,,,nan%
1277,2020-01-29,107.63917855402516,98.99111045625432,116.86544253092988,,,nan%
1278,2020-01-30,107.40242848490108,99.02400952181064,116.56826309426796,,,nan%
